listing_id,date,available,price
12622842,2016-05-17,f,
12622842,2016-05-18,f,
12622842,2016-05-19,f,
12622842,2016-05-20,f,
12622842,2016-05-21,f,
12622842,2016-05-22,f,
12622842,2016-05-23,t,$35.00
12622842,2016-05-24,f,
12622842,2016-05-25,f,
12622842,2016-05-26,f,
12622842,2016-05-27,f,
12622842,2016-05-28,f,
12622842,2016-05-29,f,
12622842,2016-05-30,f,
12622842,2016-05-31,f,
12622842,2016-06-01,t,$35.00
12622842,2016-06-02,t,$35.00
12622842,2016-06-03,f,
12622842,2016-06-04,f,
12622842,2016-06-05,f,
12622842,2016-06-06,t,$35.00
12622842,2016-06-07,t,$35.00
12622842,2016-06-08,t,$35.00
12622842,2016-06-09,f,
12622842,2016-06-10,f,
12622842,2016-06-11,f,
12622842,2016-06-12,t,$35.00
12622842,2016-06-13,t,$35.00
12622842,2016-06-14,t,$35.00
12622842,2016-06-15,t,$35.00
12622842,2016-06-16,t,$35.00
12622842,2016-06-17,t,$40.00
12622842,2016-06-18,t,$40.00
12622842,2016-06-19,t,$35.00
12622842,2016-06-20,t,$35.00
12622842,2016-06-21,t,$35.00
12622842,2016-06-22,t,$35.00
12622842,2016-06-23,t,$35.00
12622842,2016-06-24,t,$40.00
12622842,2016-06-25,t,$40.00
12622842,2016-06-26,t,$35.00
12622842,2016-06-27,t,$35.00
12622842,2016-06-28,t,$35.00
12622842,2016-06-29,t,$35.00
12622842,2016-06-30,t,$35.00
12622842,2016-07-01,t,$40.00
12622842,2016-07-02,t,$40.00
12622842,2016-07-03,t,$35.00
12622842,2016-07-04,t,$35.00
12622842,2016-07-05,t,$35.00
12622842,2016-07-06,t,$35.00
12622842,2016-07-07,t,$35.00
12622842,2016-07-08,t,$40.00
12622842,2016-07-09,t,$40.00
12622842,2016-07-10,t,$35.00
12622842,2016-07-11,t,$35.00
12622842,2016-07-12,t,$35.00
12622842,2016-07-13,t,$35.00
12622842,2016-07-14,t,$35.00
12622842,2016-07-15,t,$40.00
12622842,2016-07-16,t,$40.00
12622842,2016-07-17,t,$35.00
12622842,2016-07-18,t,$35.00
12622842,2016-07-19,t,$35.00
12622842,2016-07-20,f,
12622842,2016-07-21,f,
12622842,2016-07-22,f,
12622842,2016-07-23,f,
12622842,2016-07-24,f,
12622842,2016-07-25,f,
12622842,2016-07-26,f,
12622842,2016-07-27,f,
12622842,2016-07-28,f,
12622842,2016-07-29,f,
12622842,2016-07-30,f,
12622842,2016-07-31,f,
12622842,2016-08-01,f,
12622842,2016-08-02,f,
12622842,2016-08-03,f,
12622842,2016-08-04,f,
12622842,2016-08-05,f,
12622842,2016-08-06,f,
12622842,2016-08-07,f,
12622842,2016-08-08,f,
12622842,2016-08-09,f,
12622842,2016-08-10,f,
12622842,2016-08-11,f,
12622842,2016-08-12,f,
12622842,2016-08-13,f,
12622842,2016-08-14,t,$35.00
12622842,2016-08-15,f,
12622842,2016-08-16,f,
12622842,2016-08-17,f,
12622842,2016-08-18,f,
12622842,2016-08-19,f,
12622842,2016-08-20,f,
12622842,2016-08-21,f,
12622842,2016-08-22,f,
12622842,2016-08-23,f,
12622842,2016-08-24,f,
12622842,2016-08-25,f,
12622842,2016-08-26,f,
12622842,2016-08-27,f,
12622842,2016-08-28,f,
12622842,2016-08-29,f,
12622842,2016-08-30,f,
12622842,2016-08-31,f,
12622842,2016-09-01,f,
12622842,2016-09-02,f,
12622842,2016-09-03,f,
12622842,2016-09-04,f,
12622842,2016-09-05,f,
12622842,2016-09-06,f,
12622842,2016-09-07,f,
12622842,2016-09-08,f,
12622842,2016-09-09,f,
12622842,2016-09-10,f,
12622842,2016-09-11,f,
12622842,2016-09-12,f,
12622842,2016-09-13,f,
12622842,2016-09-14,f,
12622842,2016-09-15,f,
12622842,2016-09-16,f,
12622842,2016-09-17,f,
12622842,2016-09-18,f,
12622842,2016-09-19,f,
12622842,2016-09-20,f,
12622842,2016-09-21,f,
12622842,2016-09-22,f,
12622842,2016-09-23,f,
12622842,2016-09-24,f,
12622842,2016-09-25,f,
12622842,2016-09-26,f,
12622842,2016-09-27,f,
12622842,2016-09-28,f,
12622842,2016-09-29,f,
12622842,2016-09-30,f,
12622842,2016-10-01,f,
12622842,2016-10-02,f,
12622842,2016-10-03,f,
12622842,2016-10-04,f,
12622842,2016-10-05,f,
12622842,2016-10-06,f,
12622842,2016-10-07,f,
12622842,2016-10-08,f,
12622842,2016-10-09,f,
12622842,2016-10-10,f,
12622842,2016-10-11,f,
12622842,2016-10-12,f,
12622842,2016-10-13,f,
12622842,2016-10-14,f,
12622842,2016-10-15,f,
12622842,2016-10-16,f,
12622842,2016-10-17,f,
12622842,2016-10-18,f,
12622842,2016-10-19,f,
12622842,2016-10-20,f,
12622842,2016-10-21,f,
12622842,2016-10-22,f,
12622842,2016-10-23,f,
12622842,2016-10-24,f,
12622842,2016-10-25,f,
12622842,2016-10-26,f,
12622842,2016-10-27,f,
12622842,2016-10-28,f,
12622842,2016-10-29,f,
12622842,2016-10-30,f,
12622842,2016-10-31,f,
12622842,2016-11-01,f,
12622842,2016-11-02,f,
12622842,2016-11-03,f,
12622842,2016-11-04,f,
12622842,2016-11-05,f,
12622842,2016-11-06,f,
12622842,2016-11-07,f,
12622842,2016-11-08,f,
12622842,2016-11-09,f,
12622842,2016-11-10,f,
12622842,2016-11-11,f,
12622842,2016-11-12,f,
12622842,2016-11-13,f,
12622842,2016-11-14,f,
12622842,2016-11-15,f,
12622842,2016-11-16,f,
12622842,2016-11-17,f,
12622842,2016-11-18,f,
12622842,2016-11-19,f,
12622842,2016-11-20,f,
12622842,2016-11-21,f,
12622842,2016-11-22,f,
12622842,2016-11-23,f,
12622842,2016-11-24,f,
12622842,2016-11-25,f,
12622842,2016-11-26,f,
12622842,2016-11-27,f,
12622842,2016-11-28,f,
12622842,2016-11-29,f,
12622842,2016-11-30,f,
12622842,2016-12-01,f,
12622842,2016-12-02,f,
12622842,2016-12-03,f,
12622842,2016-12-04,f,
12622842,2016-12-05,f,
12622842,2016-12-06,f,
12622842,2016-12-07,f,
12622842,2016-12-08,f,
12622842,2016-12-09,f,
12622842,2016-12-10,f,
12622842,2016-12-11,f,
12622842,2016-12-12,f,
12622842,2016-12-13,f,
12622842,2016-12-14,f,
12622842,2016-12-15,f,
12622842,2016-12-16,f,
12622842,2016-12-17,f,
12622842,2016-12-18,f,
12622842,2016-12-19,f,
12622842,2016-12-20,f,
12622842,2016-12-21,f,
12622842,2016-12-22,f,
12622842,2016-12-23,f,
12622842,2016-12-24,f,
12622842,2016-12-25,f,
12622842,2016-12-26,f,
12622842,2016-12-27,f,
12622842,2016-12-28,f,
12622842,2016-12-29,f,
12622842,2016-12-30,f,
12622842,2016-12-31,f,
12622842,2017-01-01,f,
12622842,2017-01-02,f,
12622842,2017-01-03,f,
12622842,2017-01-04,f,
12622842,2017-01-05,f,
12622842,2017-01-06,f,
12622842,2017-01-07,f,
12622842,2017-01-08,f,
12622842,2017-01-09,f,
12622842,2017-01-10,f,
12622842,2017-01-11,f,
12622842,2017-01-12,f,
12622842,2017-01-13,f,
12622842,2017-01-14,f,
12622842,2017-01-15,f,
12622842,2017-01-16,f,
12622842,2017-01-17,f,
12622842,2017-01-18,f,
12622842,2017-01-19,f,
12622842,2017-01-20,f,
12622842,2017-01-21,f,
12622842,2017-01-22,f,
12622842,2017-01-23,f,
12622842,2017-01-24,f,
12622842,2017-01-25,f,
12622842,2017-01-26,f,
12622842,2017-01-27,f,
12622842,2017-01-28,f,
12622842,2017-01-29,f,
12622842,2017-01-30,f,
12622842,2017-01-31,f,
12622842,2017-02-01,f,
12622842,2017-02-02,f,
12622842,2017-02-03,f,
12622842,2017-02-04,f,
12622842,2017-02-05,f,
12622842,2017-02-06,f,
12622842,2017-02-07,f,
12622842,2017-02-08,f,
12622842,2017-02-09,f,
12622842,2017-02-10,f,
12622842,2017-02-11,f,
12622842,2017-02-12,f,
12622842,2017-02-13,f,
12622842,2017-02-14,f,
12622842,2017-02-15,f,
12622842,2017-02-16,f,
12622842,2017-02-17,f,
12622842,2017-02-18,f,
12622842,2017-02-19,f,
12622842,2017-02-20,f,
12622842,2017-02-21,f,
12622842,2017-02-22,f,
12622842,2017-02-23,f,
12622842,2017-02-24,f,
12622842,2017-02-25,f,
12622842,2017-02-26,f,
12622842,2017-02-27,f,
12622842,2017-02-28,f,
12622842,2017-03-01,f,
12622842,2017-03-02,f,
12622842,2017-03-03,f,
12622842,2017-03-04,f,
12622842,2017-03-05,f,
12622842,2017-03-06,f,
12622842,2017-03-07,f,
12622842,2017-03-08,f,
12622842,2017-03-09,f,
12622842,2017-03-10,f,
