4041887	22	25	25	23	95	25	25	19	25	94
63040259	23	25	25	25	98	20	0	22	21	63
63060415	15	13	15	0	43	17	3	25	20	65
63090133					0					0
63090213	17	15	0	20	52	12	0	15	23	50
63100017	15	5	2	5	27	10	3	15	10	38
63100136	15	13	10	0	38	15	0	15	13	43
63110008	23	13	0	0	36	25	0	13	15	53
63110236					0					0
63120040	5	0	5	0	10	15	3	5	21	44
63120042	23	18	20	0	61	25	25	13	8	71
63120099					0					0
63120299					0					0
63130016	10	6	10	15	41	25	10	21	21	77
63130022	15	3	4	0	22					0
63130099	25	5	7	0	37					0
63130103	18	13	18	5	54	25	0	18	23	66
63130106	14	10	5	0	29	2	3	5	5	15
63130141					0					0
63130192					0					0
63130213	12	13	10	0	35	20	0	8	13	41
63130231	18	13	15	0	46					0
63130250	12	12	7	0	31	15	0	5	0	20
63130260	17	3	10	10	40	12	5	16	18	51
63130369	20	25	20	10	75					0
63140028					0					0
63140042	17	13	2	0	32	10	0	13	23	46
63140044					0					0
63140047	18	15	17	25	75	22	18	19	25	84
63140056	13	8	12	0	33	15	0	3	15	33
63140059	12	15	5	5	37	22	3	5	4	34
63140072	17	8	2	20	47	15	0	5	8	28
63140074	20	25	15	7	67	25	17	14	21	77
63140080	10	25	8	15	58	5	5	18	18	46
63140082	12	25	14	15	66	25	0	18	25	68
63140090	13	15	10	0	38					0
63140101	15	13	10	0	38	20	3	5	22	50
63140104	22	8	5	0	35					0
63140108	12	0	7	10	29	25	10	21	20	76
63140121	18	13	12	25	68	25	0	15	25	65
63140131	16	3	4	10	33					0
63140147	20	13	10	3	46	5	3	13	15	36
63140169	5	5	0	0	10					0
63140171	12	12	10	12	46	17	10	13	23	63
63140177	18	10	10	5	43					0
63140179	20	15	5	20	60	15	3	20	23	61
63140194	13	13	15	0	41	20	3	10	21	54
63140204	15	15	2	0	32	5	3	18	23	49
63140221	0	13	5	5	23					0
63140222					0					0
63140253	25	12	10	5	52					0
63140287	9	13	10	5	37					0
63140292					0					0
63140294	12	12	12	5	41	20	7	13	19	59
63140324	17	25	25	20	87	25	17	25	25	92
63140339	22	25	25	15	87	22	5	23	25	75
63140353					0					0
63140362	12	6	5	0	23	10	0	10	13	33
63150039	17	10	3	2	32	25	0	16	22	63
63150040	25	25	20	25	95	20	25	17	21	83
63150041	20	25	25	20	90	20	15	23	25	83
63150043	6	13	2	5	26					0
63150046	13	25	15	5	58	25	12	18	13	68
63150047	18	10	10	0	38	25	5	22	10	62
63150048	8	5	0	0	13					0
63150051	20	13	2	0	35	5	3	9	20	37
63150052	20	3	10	10	43	0	5	20	8	33
63150057	3	25	0	5	33	5	0	2	5	12
63150058	15	25	12	5	57	25	5	18	21	69
63150059	17	13	3	0	33					0
63150061	17	5	18	5	45	20	0	12	16	48
63150062	22	20	3	0	45	25	3	12	25	65
63150065	18	13	23	0	54	15	5	25	22	67
63150067	20	10	18	0	48	20	5	15	13	53
63150068	15	13	5	0	33	2	3	5	7	17
63150069	15	12	17	12	56	20	3	21	10	54
63150076	15	22	12	5	54	25	15	15	21	76
63150077	25	25	18	25	93	20	3	17	23	63
63150078	17	10	17	10	54					0
63150087	1	8	5	0	14					0
63150090	23	25	22	15	85	25	3	19	24	71
63150091	12	20	7	10	49	20	5	0	11	36
63150095	12	6	5	0	23	15	3	13	15	46
63150097	15	25	23	20	83	20	0	25	21	66
63150101	10	15	22	17	64	20	25	6	5	56
63150103	25	25	20	17	87	20	25	25	21	91
63150106	16	25	20	8	69	22	17	18	24	81
63150107	12	13	5	0	30	17	3	5	15	40
63150108	15	9	12	15	51	10	5	18	23	56
63150109	23	25	15	0	63	12	5	11	15	43
63150111	18	18	18	10	64	25	5	21	21	72
63150114	12	12	12	2	38	25	5	20	25	75
63150116	15	25	0	20	60	17	0	14	23	54
63150117	12	15	10	25	62	25	7	20	25	77
63150118					0					0
63150121	8	6	5	2	21	25	0	16	20	61
63150122	25	25	18	25	93	22	25	18	23	88
63150124	10	10	12	0	32	17	5	17	11	50
63150127	22	15	22	10	69	25	7	21	23	76
63150128	10	8	2	0	20					0
63150131	22	25	25	20	92	22	25	25	25	97
63150133	12	0	2	17	31	5	0	4	21	30
63150134	16	10	25	18	69	20	0	10	11	41
63150136	18	25	20	18	81	22	0	18	19	59
63150138	5	10	0	0	15					0
63150139					0					0
63150141					0					0
63150145	15	20	15	0	50	20	0	10	11	41
63150146	22	25	22	25	94	20	20	16	21	77
63150148	18	25	18	0	61	25	3	22	23	73
63150154	18	15	22	0	55	25	3	17	21	66
63150156	25	25	20	20	90	20	7	18	23	68
63150157	6	3	2	5	16	17	15	13	23	68
63150158	23	12	12	20	67	10	10	20	21	61
63150160	20	5	20	10	55	25	5	21	25	76
63150162	12	0	5	0	17	10	0	0	0	10
63150163	22	25	22	22	91	20	20	22	25	87
63150165	19	3	5	20	47	15	3	15	21	54
63150167	5	5	0	0	10					0
63150170	15	25	20	0	60	20	22	20	23	85
63150172	10	12	7	0	29	15	3	15	24	57
63150174	20	25	5	20	70	3	7	19	16	45
63150176	14	10	10	20	54	25	17	17	23	82
63150179	22	25	25	25	97	25	10	15	23	73
63150180	20	13	15	5	53	17	12	18	23	70
63150181	18	15	10	5	48	20	3	25	25	73
63150183	23	25	22	18	88	25	0	23	25	73
63150185	25	25	23	22	95	25	25	23	25	98
63150186	22	5	15	20	62	25	22	18	21	86
63150187	21	23	10	0	54	20	0	15	11	46
63150188					0					0
63150189	23	23	10	20	76	15	0	19	13	47
63150190	12	13	10	20	55	18	0	20	23	61
63150194	24	25	23	25	97	25	25	25	25	100
63150195	25	25	12	5	67	25	25	14	19	83
63150196	15	15	5	5	40					0
63150197	22	10	25	25	82	25	25	16	25	91
63150198	0	13	7	10	30	10	0	0	0	10
63150199	22	15	15	15	67	25	15	17	23	80
63150200	22	25	17	20	84	25	25	23	25	98
63150210					0					0
63150213	18	8	5	15	46	25	20	10	18	73
63150215	22	25	25	15	87	15	25	23	21	84
63150217	12	13	5	5	35	15	3	14	14	46
63150219	20	25	22	12	79	20	25	20	24	89
63150220	9	12	7	0	28	0	20	13	23	56
63150223					0					0
63150225					0					0
63150226					0					0
63150227	0	8	2	5	15					0
63150228	18	25	15	5	63	25	20	20	23	88
63150231	0	0	3	0	3					0
63150232	15	25	17	15	72	25	3	13	21	62
63150233	14	5	2	0	21	13	13	21	13	60
63150239	23	25	25	10	83	25	5	18	18	66
63150241	22	25	25	25	97	20	10	25	23	78
63150244					0					0
63150247	22	25	25	15	87	25	17	21	23	86
63150248	23	11	25	22	81	15	25	15	21	76
63150249	23	18	15	25	81	25	5	25	22	77
63150250	22	25	25	0	72	25	25	25	25	100
63150258	15	3	2	0	20	22	22	18	13	75
63150259	19	18	5	0	42					0
63150260	22	25	25	10	82	20	5	10	21	56
63150263	12	6	10	0	28	20	3	5	23	51
63150264	8	6	0	0	14	15	10	5	0	30
63150266	5	18	15	0	38	7	0	21	13	41
63150267	20	25	20	5	70	15	0	20	21	56
63150268	25	25	15	10	75	15	5	20	23	63
63150271	22	16	25	20	83	25	10	20	25	80
63150272	17	25	17	25	84	25	25	23	25	98
63150273	22	20	17	15	74	17	5	25	21	68
63150274	18	18	10	15	61	25	3	13	23	64
63150275	3	5	0	0	8	3	3	5	5	16
63150276	18	25	20	0	63	25	25	0	0	50
63150283	22	13	2	15	52	25	5	9	25	64
63150284	22	13	23	20	78	15	12	16	18	61
63150286	3	5	7	0	15	0	0	3	8	11
63150288	25	12	7	10	54	15	3	15	8	41
63150289	2	0	0	0	2					0
63150295	12	3	5	10	30	0	0	0	0	0
63150302	25	25	22	25	97	25	25	15	13	78
63150304	15	18	5	10	48	15	3	25	21	64
63150306	20	25	25	20	90	25	25	25	23	98
63150307	12	25	10	15	62	12	5	3	19	39
63150309	17	5	10	0	32	25	0	16	11	52
63150314	12	15	2	25	54	20	5	8	21	54
63150315					0					0
63150317	24	25	20	20	89	25	25	25	25	100
63150320	6	8	2	0	16	12	12	8	5	37
63150321	5	13	2	0	20					0
63150322	12	12	15	5	44	20	10	15	21	66
63150328	15	15	0	15	45					0
63150335	3	0	2	10	15					0
63150336	16	18	20	25	79	20	5	17	23	65
63150343					0					0
63150345					0					0
