id,date,comments
40298491,2015-07-29,0.9389
40529328,2015-07-31,0.9796
40696797,2015-08-01,0.9888
40837196,2015-08-02,0.9802
41017040,2015-08-03,0.9539
41293535,2015-08-05,0.9574
42089865,2015-08-10,0.9779
43723235,2015-08-21,0.9853
44500860,2015-08-26,0.9928
44614703,2015-08-27,0.9143
44742650,2015-08-28,0.9668
44856349,2015-08-29,0.7312
45034252,2015-08-30,0.9927
46024749,2015-09-07,0.9559
46217691,2015-09-08,0.9651
47230534,2015-09-16,0.9862
47336899,2015-09-17,0.9682
47587065,2015-09-20,0.9721
48823896,2015-09-28,0.9513
50053214,2015-10-08,0.9694
50146939,2015-10-09,0.9696
16504329,2014-07-28,0.9807
35055135,2015-06-14,0.9646
7084720,2013-09-05,0.9975
7188324,2013-09-09,0.9801
7539713,2013-09-23,0.9545
7730842,2013-09-30,0.9885
7883452,2013-10-07,0.9633
7934607,2013-10-08,0.9571
8389409,2013-10-28,0.9921
33165349,2015-05-25,0.9571
33451087,2015-05-28,0.9841
33961359,2015-06-02,0.993
35958764,2015-06-23,0.9798
36153863,2015-06-25,0.9431
36459967,2015-06-28,0.9843
36792549,2015-07-01,0.836
37383232,2015-07-06,0.989
37624132,2015-07-08,0.9899
38545596,2015-07-16,0.9931
38771554,2015-07-18,0.9928
39064350,2015-07-20,0.9932
39415989,2015-07-23,0.9688
39676312,2015-07-25,0.9914
39983070,2015-07-27,0.9416
40650853,2015-08-01,0.9935
41932098,2015-08-10,0.8481
42309861,2015-08-12,0.9606
42626941,2015-08-14,0.9907
43111792,2015-08-17,0.9816
44043361,2015-08-23,0.9884
44811202,2015-08-29,0.9637
45159440,2015-08-31,0.9718
46189202,2015-09-08,0.9952
47809613,2015-09-21,0.9973
48825788,2015-09-28,0.9971
49574981,2015-10-04,0.9961
5328259,2013-06-24,0.9451
5583980,2013-07-07,0.9812
5817002,2013-07-17,0.9781
6133740,2013-07-31,0.9862
6281137,2013-08-06,0.9305
6584684,2013-08-18,0.8591
6742207,2013-08-23,0.9682
6894582,2013-08-29,0.9269
7354927,2013-09-16,0.9259
7696822,2013-09-30,0.9431
7884479,2013-10-07,0.9829
8404053,2013-10-29,0.9756
8546892,2013-11-04,0.9403
9020155,2013-12-02,0.9626
9441421,2013-12-29,0.9861
10041170,2014-01-27,0.9873
10392307,2014-02-17,0.9836
10692864,2014-03-03,0.969
10913859,2014-03-12,0.9402
11453033,2014-04-03,0.9696
11481416,2014-04-04,0.0
12831458,2014-05-12,0.9906
13793930,2014-06-04,0.9812
14335119,2014-06-17,0.9626
14904262,2014-06-29,0.9678
15093867,2014-07-02,0.7902
15830394,2014-07-16,0.9707
16083053,2014-07-22,0.9652
16452722,2014-07-28,0.986
17101934,2014-08-07,0.9143
17740883,2014-08-17,0.9474
18171379,2014-08-23,0.9573
18873156,2014-09-02,0.9432
20997621,2014-10-09,0.9514
21988107,2014-10-27,0.9873
24321295,2014-12-26,0.9647
24937472,2015-01-04,0.9937
25310191,2015-01-12,0.7954
26118389,2015-02-03,0.906
26298194,2015-02-09,0.9864
26690697,2015-02-17,0.926
27074635,2015-02-24,0.9701
28255444,2015-03-21,0.9756
29266161,2015-04-06,0.9746
29602761,2015-04-10,0.9784
32525579,2015-05-19,0.9493
33791034,2015-06-01,0.9652
34419762,2015-06-08,0.9595
34875084,2015-06-13,0.9844
35060508,2015-06-15,0.9753
36849847,2015-07-02,0.6784
37458422,2015-07-07,0.9176
39022366,2015-07-20,0.9789
39942142,2015-07-27,0.9526
41916467,2015-08-10,0.9073
42284242,2015-08-12,0.9489
43241681,2015-08-18,0.9824
