listing_id,date,available,price
12147973,2017-09-05,f,
12147973,2017-09-04,f,
12147973,2017-09-03,f,
12147973,2017-09-02,f,
12147973,2017-09-01,f,
12147973,2017-08-31,f,
12147973,2017-08-30,f,
12147973,2017-08-29,f,
12147973,2017-08-28,f,
12147973,2017-08-27,f,
12147973,2017-08-26,f,
12147973,2017-08-25,f,
12147973,2017-08-24,f,
12147973,2017-08-23,f,
12147973,2017-08-22,f,
12147973,2017-08-21,f,
12147973,2017-08-20,f,
12147973,2017-08-19,f,
12147973,2017-08-18,f,
12147973,2017-08-17,f,
12147973,2017-08-16,f,
12147973,2017-08-15,f,
12147973,2017-08-14,f,
12147973,2017-08-13,f,
12147973,2017-08-12,f,
12147973,2017-08-11,f,
12147973,2017-08-10,f,
12147973,2017-08-09,f,
12147973,2017-08-08,f,
12147973,2017-08-07,f,
12147973,2017-08-06,f,
12147973,2017-08-05,f,
12147973,2017-08-04,f,
12147973,2017-08-03,f,
12147973,2017-08-02,f,
12147973,2017-02-16,f,
12147973,2017-02-15,f,
12147973,2017-02-14,f,
12147973,2017-02-13,f,
12147973,2017-02-12,f,
12147973,2017-02-11,f,
12147973,2017-02-10,f,
12147973,2017-02-09,f,
12147973,2017-02-08,f,
12147973,2017-02-07,f,
12147973,2017-02-06,f,
12147973,2017-02-05,f,
12147973,2017-02-04,f,
12147973,2017-02-03,f,
12147973,2017-02-02,f,
12147973,2017-02-01,f,
12147973,2017-01-31,f,
12147973,2017-01-30,f,
12147973,2017-01-29,f,
12147973,2017-01-28,f,
12147973,2017-01-27,f,
12147973,2017-01-26,f,
12147973,2017-01-25,f,
12147973,2017-01-24,f,
12147973,2017-01-23,f,
12147973,2017-01-22,f,
12147973,2017-01-21,f,
12147973,2017-01-20,f,
12147973,2017-01-19,f,
12147973,2017-01-18,f,
12147973,2017-01-17,f,
12147973,2017-01-16,f,
12147973,2017-01-15,f,
12147973,2017-01-14,f,
12147973,2017-01-13,f,
12147973,2017-01-12,f,
12147973,2017-01-11,f,
12147973,2017-01-10,f,
12147973,2017-01-09,f,
12147973,2017-01-08,f,
12147973,2017-01-07,f,
12147973,2017-01-06,f,
12147973,2017-01-05,f,
12147973,2017-01-04,f,
12147973,2017-01-03,f,
12147973,2017-01-02,f,
12147973,2017-01-01,f,
12147973,2016-12-31,f,
12147973,2016-12-30,f,
12147973,2016-12-29,f,
12147973,2016-12-28,f,
12147973,2016-12-27,f,
12147973,2016-12-26,f,
12147973,2016-12-25,f,
12147973,2016-12-24,f,
12147973,2016-12-23,f,
12147973,2016-12-22,f,
12147973,2016-12-21,f,
12147973,2016-12-20,f,
12147973,2016-12-19,f,
12147973,2016-12-18,f,
12147973,2016-12-17,f,
12147973,2016-12-16,f,
12147973,2016-12-15,f,
12147973,2016-12-14,f,
12147973,2016-12-13,f,
12147973,2016-12-12,f,
12147973,2016-12-11,f,
12147973,2016-12-10,f,
12147973,2016-12-09,f,
12147973,2016-12-08,f,
12147973,2016-12-07,f,
12147973,2016-12-06,f,
12147973,2016-12-05,f,
12147973,2016-12-04,f,
12147973,2016-12-03,f,
12147973,2016-12-02,f,
12147973,2016-12-01,f,
12147973,2016-11-30,f,
12147973,2016-11-29,f,
12147973,2016-11-28,f,
12147973,2016-11-27,f,
12147973,2016-11-26,f,
12147973,2016-11-25,f,
12147973,2016-11-24,f,
12147973,2016-11-23,f,
12147973,2016-11-22,f,
12147973,2016-11-21,f,
12147973,2016-11-20,f,
12147973,2016-11-19,f,
12147973,2016-11-18,f,
12147973,2016-11-17,f,
12147973,2016-11-16,f,
12147973,2016-11-15,f,
12147973,2016-11-14,f,
12147973,2016-11-13,f,
12147973,2016-11-12,f,
12147973,2016-11-11,f,
12147973,2016-11-10,f,
12147973,2016-11-09,f,
12147973,2016-11-08,f,
