movieId:   2483, rating:  2.75, num_ratings:   2, variance: 5.0625
movieId:   6219, rating:  2.75, num_ratings:   2, variance: 5.0625
movieId:  27178, rating:  2.75, num_ratings:   2, variance: 5.0625
movieId:   2824, rating:   3.0, num_ratings:   2, variance:    4.0
movieId:   3490, rating:   3.0, num_ratings:   2, variance:    4.0
movieId:   3718, rating:   3.0, num_ratings:   2, variance:    4.0
movieId:   3892, rating:   3.0, num_ratings:   2, variance:    4.0
movieId:   4404, rating:   3.0, num_ratings:   2, variance:    4.0
movieId:   4562, rating:   3.0, num_ratings:   2, variance:    4.0
movieId:   4630, rating:   3.0, num_ratings:   2, variance:    4.0
movieId:   5179, rating:   3.0, num_ratings:   2, variance:    4.0
movieId:  66246, rating:   2.5, num_ratings:   2, variance:    4.0
movieId:  91104, rating:   2.5, num_ratings:   2, variance:    4.0
movieId: 135436, rating:   3.0, num_ratings:   2, variance:    4.0
movieId:  55167, rating:  2.38, num_ratings:   4, variance: 3.7969
movieId:   3973, rating:   2.9, num_ratings:   5, variance:   3.64
movieId:   1180, rating:  3.67, num_ratings:   3, variance: 3.5556
movieId:   7505, rating:  3.17, num_ratings:   3, variance: 3.5556
movieId:   4520, rating:  2.67, num_ratings:   3, variance: 3.3889
movieId:   2365, rating:   2.8, num_ratings:   5, variance:   3.36
movieId:     99, rating:  2.75, num_ratings:   4, variance: 3.1875
movieId:    483, rating:  2.75, num_ratings:   4, variance: 3.1875
movieId:  62912, rating:   3.0, num_ratings:   3, variance: 3.1667
movieId:  87304, rating:   3.0, num_ratings:   3, variance: 3.1667
movieId:   3415, rating:  3.25, num_ratings:   2, variance: 3.0625
movieId:   3573, rating:  2.25, num_ratings:   2, variance: 3.0625
movieId:   4768, rating:  2.75, num_ratings:   2, variance: 3.0625
movieId:   6127, rating:  2.25, num_ratings:   2, variance: 3.0625
movieId:   7369, rating:  2.25, num_ratings:   2, variance: 3.0625
movieId:   7577, rating:  2.25, num_ratings:   2, variance: 3.0625
movieId:   8574, rating:  2.25, num_ratings:   2, variance: 3.0625
